State,County,Population,MenPopulation,WomenPopulation,VotingAgeCitizen,Income,IncomePerCapita,PovertyRate,ChildPovertyRate,EmployedPopulation,UnemployedPopulation,EmploymentRate,UnemploymentRate
Alabama,Houston County,104108,49905,54203,78486,42803,24781,18.5,29.5,44108,5965,56.2,7.6
Alabama,Jackson County,52326,25712,26614,40672,39281,20946,19.0,27.4,20261,3132,49.8,7.7
Alabama,Jefferson County,659460,312333,347127,491022,49321,29456,17.6,25.6,300739,37809,61.2,7.7
Alabama,Lamar County,14021,6875,7146,10888,36016,21152,23.1,37.3,5376,860,49.4,7.9
Alabama,Lauderdale County,92590,44263,48327,72887,44888,25803,16.3,21.9,39857,4811,54.7,6.6
Alabama,Lawrence County,33288,16164,17124,25915,43779,22419,16.6,19.0,12476,1866,48.1,7.2
Alabama,Lee County,156597,77172,79425,117422,47564,26170,22.0,24.0,71677,6693,61.0,5.7
Alabama,Limestone County,91695,45889,45806,68544,52831,26685,14.8,20.0,38944,4867,56.8,7.1
Alabama,Lowndes County,10362,4896,5466,7973,29785,18976,30.2,48.4,3533,893,44.3,11.2
Alabama,Macon County,19358,8933,10425,15760,32308,19564,25.9,39.3,7348,2285,46.6,14.5
Alabama,Madison County,353213,172568,180645,265022,61318,34232,13.6,20.0,169756,17226,64.1,6.5
Alabama,Marengo County,19743,9235,10508,15131,32255,22996,25.6,36.5,6645,1937,43.9,12.8
Alabama,Marion County,30058,14880,15178,23525,35719,21835,17.6,24.1,11899,1294,50.6,5.5
Alabama,Marshall County,94738,46771,47967,65777,41104,22710,21.0,34.1,38456,4276,58.5,6.5
Alabama,Mobile County,414328,197968,216360,309967,45802,24347,19.3,29.3,173195,23248,55.9,7.5
Alabama,Monroe County,21745,10355,11390,16664,26036,17264,33.7,43.5,6154,3599,36.9,21.6
Alabama,Montgomery County,227120,107470,119650,167305,46545,26712,20.8,32.1,100874,12715,60.3,7.6
Alabama,Morgan County,119157,58761,60396,88176,47529,25013,16.6,24.6,50611,5731,57.4,6.5
Alabama,Perry County,9680,4630,5050,7492,22973,13449,41.9,60.8,2478,884,33.1,11.8
Alabama,Pickens County,20170,9601,10569,15585,36220,20089,22.9,34.8,6903,1901,44.3,12.2
Alabama,Pike County,33287,15897,17390,25869,35684,20808,26.3,34.4,14352,2251,55.5,8.7
Alabama,Randolph County,22530,10998,11532,17343,39485,20983,18.7,29.7,8565,1006,49.4,5.8
Alabama,Russell County,58480,28424,30056,42923,38988,21279,20.9,29.2,22959,4164,53.5,9.7
Alabama,St. Clair County,86937,43469,43468,66069,53483,24686,13.7,17.0,38522,3832,58.3,5.8
Alabama,Shelby County,208721,101420,107301,151940,74063,35330,8.3,10.1,104093,6533,68.5,4.3
Alabama,Sumter County,13084,6033,7051,10220,21663,14739,36.0,47.4,4353,1369,42.6,13.4
Alabama,Talladega County,80888,39140,41748,62314,39219,21382,19.3,28.8,30937,6231,49.6,10.0
Alabama,Tallapoosa County,40756,19616,21140,31773,42181,22430,21.2,35.9,15317,2923,48.2,9.2
Alabama,Tuscaloosa County,204424,98725,105699,156404,50513,24895,17.3,21.4,90941,10479,58.1,6.7
Alabama,Walker County,64927,31709,33218,49884,38872,21217,21.5,31.4,24280,4988,48.7,10.0
Alabama,Washington County,16746,8342,8404,12796,42185,23239,22.0,34.3,5710,1408,44.6,11.0
Alabama,Wilcox County,10919,5096,5823,8218,27012,15774,31.9,41.9,2901,1413,35.3,17.2
Alabama,Winston County,23968,11850,12118,18713,35362,20580,18.7,29.2,8902,1759,47.6,9.4
Alaska,Aleutians East Borough,3338,2049,1289,2057,66607,31254,16.7,20.0,2008,49,97.6,2.4
Alaska,Aleutians West Census Area,5784,3539,2245,3565,85192,35998,7.5,9.9,3497,68,98.1,1.9
Alaska,Anchorage Municipality,298225,152311,145914,213885,82271,38977,8.1,11.5,152751,12405,71.4,5.8
Alaska,Bethel Census Area,17957,9435,8522,11357,53853,18654,27.0,33.2,6075,2192,53.5,19.3
Alaska,Bristol Bay Borough,917,532,385,694,79500,42002,7.1,11.6,508,47,73.2,6.8
Alaska,Denali Borough,2303,1168,1135,1807,83295,33084,15.5,4.8,1529,34,84.6,1.9
Alaska,Dillingham Census Area,4974,2585,2389,3393,58708,24647,16.6,24.2,1989,387,58.6,11.4
Alaska,Fairbanks North Star Borough,100031,53967,46064,73708,76250,35328,7.7,10.0,46725,5897,63.4,8.0
Alaska,Haines Borough,2537,1323,1214,1950,70640,35907,8.4,20.5,1437,53,73.7,2.7
Alaska,Hoonah-Angoon Census Area,2146,1123,1023,1713,57900,33704,11.1,24.6,1039,200,60.7,11.7
Alaska,Juneau City and Borough,32434,16663,15771,24151,90749,41904,7.4,12.3,17970,1159,74.4,4.8
Alaska,Kenai Peninsula Borough,57961,30261,27700,44070,65279,33336,11.0,14.4,25564,3790,58.0,8.6
Alaska,Ketchikan Gateway Borough,13745,7065,6680,10238,67321,33771,10.6,16.5,6899,717,67.4,7.0
Alaska,Kodiak Island Borough,13773,7370,6403,8861,74167,32625,9.3,12.3,7010,470,79.1,5.3
Alaska,Kusilvak Census Area,8129,4342,3787,4813,36468,11693,39.1,45.8,2125,1386,44.2,28.8
Alaska,Lake and Peninsula Borough,1301,661,640,911,45208,23434,16.5,19.2,581,120,63.8,13.2
Alaska,Matanuska-Susitna Borough,101135,52767,48368,72100,74887,30409,9.8,11.3,42695,7066,59.2,9.8
Alaska,Nome Census Area,9869,5250,4619,6341,53821,20952,24.9,30.0,3639,1053,57.4,16.6
Alaska,North Slope Borough,9757,6097,3660,7083,77266,48777,10.2,16.7,5412,673,76.4,9.5
Alaska,Northwest Arctic Borough,7715,4168,3547,4964,61533,21879,25.3,32.2,2654,998,53.5,20.1
Alaska,Petersburg Borough,3275,1724,1551,2419,63490,35044,7.8,8.6,1644,116,68.0,4.8
Alaska,Prince of Wales-Hyder Census Area,6473,3509,2964,4875,52114,26695,16.0,23.9,2780,658,57.0,13.5
Alaska,Sitka City and Borough,8810,4520,4290,6556,70765,36617,9.2,12.1,4702,328,71.7,5.0
Alaska,Skagway Municipality,1038,594,444,870,70673,39376,5.6,5.3,701,69,80.6,7.9
Alaska,Southeast Fairbanks Census Area,6889,3813,3076,4717,63866,31051,13.9,19.4,2941,590,62.3,12.5
Alaska,Valdez-Cordova Census Area,9439,4901,4538,7110,86019,37935,7.4,6.4,4755,533,66.9,7.5
Alaska,Wrangell City and Borough,2475,1280,1195,1923,56094,29943,11.7,18.3,1095,135,56.9,7.0
Alaska,Yakutat City and Borough,682,366,316,522,64583,32393,6.2,10.1,377,34,72.2,6.5
Alaska,Yukon-Koyukuk Census Area,5453,2936,2517,3900,37819,21057,25.5,32.9,2082,768,53.4,19.7
Arizona,Apache County,71602,35355,36247,50359,32360,13865,35.9,45.3,18197,7101,36.1,14.1
Arizona,Cochise County,126516,64094,62422,92064,47847,24896,18.1,25.9,43404,6997,47.1,7.6
Arizona,Coconino County,138639,68264,70375,105097,53523,25722,21.0,23.2,65283,8723,62.1,8.3
Arizona,Gila County,53145,26284,26861,41292,41179,22433,21.9,36.4,18216,4831,44.1,11.7
Arizona,Graham County,37700,20233,17467,26382,48173,17874,21.4,28.7,12412,3219,47.0,12.2
Arizona,Greenlee County,9368,4997,4371,6499,56298,24935,11.5,15.7,3675,494,56.5,7.6
Arizona,La Paz County,20477,10530,9947,15702,36479,21707,19.7,38.1,6474,1492,41.2,9.5
Arizona,Maricopa County,4155501,2055464,2100037,2778337,58580,30186,15.7,22.5,1929015,166700,69.4,6.0
Arizona,Mohave County,204691,103175,101516,160544,41567,23527,18.6,27.2,69774,16215,43.5,10.1
Arizona,Navajo County,107902,54037,53865,76593,38798,17685,29.1,38.6,33186,12485,43.3,16.3
Arizona,Pima County,1007257,495714,511543,726019,48676,27323,18.3,25.8,433478,60986,59.7,8.4
Arizona,Pinal County,405537,211665,193872,286075,52628,22944,15.5,22.0,144930,22314,50.7,7.8
Arizona,Santa Cruz County,46358,22229,24129,27410,39630,19482,21.8,29.4,17421,2385,63.6,8.7
Arizona,Yavapai County,220972,108100,112872,176240,48259,27504,14.7,20.1,83535,12866,47.4,7.3
Arizona,Yuma County,204281,104914,99367,121564,43253,20600,19.7,28.2,74891,13250,61.6,10.9
Arkansas,Arkansas County,18352,8785,9567,13982,38532,23766,20.7,28.6,7920,1188,56.6,8.5
Arkansas,Ashley County,20771,10126,10645,15544,36407,20703,21.3,32.4,7905,1539,50.9,9.9
Arkansas,Baxter County,41093,19857,21236,33597,40072,24737,12.6,17.6,15926,1949,47.4,5.8
Arkansas,Benton County,251823,124632,127191,165781,61271,30611,10.5,14.5,119813,5139,72.3,3.1
Arkansas,Boone County,37212,18198,19014,28675,40727,22288,15.8,23.7,15773,1749,55.0,6.1
Arkansas,Bradley County,10994,5262,5732,7849,36310,21575,26.4,42.2,4112,738,52.4,9.4
Arkansas,Calhoun County,5194,2693,2501,4179,37225,22866,19.6,34.3,2215,238,53.0,5.7
Arkansas,Carroll County,27782,13634,14148,20196,39686,21754,15.7,23.5,11400,1030,56.4,5.1
Arkansas,Chicot County,11008,5401,5607,8386,32412,20560,29.4,40.7,3659,847,43.6,10.1
Arkansas,Clark County,22495,10697,11798,17814,37144,20382,21.5,28.5,10291,802,57.8,4.5
Arkansas,Clay County,15190,7421,7769,11802,32219,19171,22.3,32.4,6234,626,52.8,5.3
Arkansas,Cleburne County,25361,12494,12867,20196,42312,26189,15.4,23.2,10142,1111,50.2,5.5
Arkansas,Cleveland County,8332,4189,4143,6341,44840,23171,19.3,31.2,3362,419,53.0,6.6
Arkansas,Columbia County,23992,11498,12494,18421,37072,20296,25.1,34.8,9877,1750,53.6,9.5
Arkansas,Conway County,20954,10313,10641,15859,39638,22365,18.5,27.8,8377,1126,52.8,7.1
Arkansas,Craighead County,104246,50774,53472,75467,45672,25594,18.3,25.1,48216,4528,63.9,6.0
Arkansas,Crawford County,62119,30587,31532,45393,43504,22104,16.6,24.3,25751,2814,56.7,6.2
Arkansas,Crittenden County,49278,23303,25975,35076,38558,20721,23.5,37.0,20282,2946,57.8,8.4
Arkansas,Cross County,17164,8323,8841,12986,41081,22894,18.0,27.4,7242,883,55.8,6.8
Arkansas,Dallas County,7585,3639,3946,5772,35794,18309,13.2,17.4,2910,369,50.4,6.4
Arkansas,Desha County,12094,5547,6547,8774,27036,18187,32.6,48.5,4440,1070,50.6,12.2
Arkansas,Drew County,18620,9090,9530,14372,36092,20300,24.4,29.4,7629,1293,53.1,9.0
Arkansas,Faulkner County,121282,59387,61895,90208,50316,25240,16.3,16.6,57306,4601,63.5,5.1
Arkansas,Franklin County,17803,8674,9129,13611,39472,19988,21.9,31.9,6598,898,48.5,6.6
Arkansas,Fulton County,12092,5947,6145,9543,36051,19674,23.0,40.3,4132,658,43.3,6.9
Arkansas,Garland County,97994,47269,50725,76141,41672,25690,19.1,29.9,39800,6853,52.3,9.0
Arkansas,Grant County,18076,8829,9247,13759,49968,25814,14.4,17.9,7561,1197,55.0,8.7
Arkansas,Greene County,44197,21806,22391,33207,45566,22094,15.9,23.2,19093,2324,57.5,7.0
Arkansas,Hempstead County,22154,10380,11774,15466,38701,18817,25.3,37.5,8819,990,57.0,6.4
Arkansas,Hot Spring County,33480,17294,16186,26167,40626,20868,15.8,19.7,13378,1622,51.1,6.2
Arkansas,Howard County,13472,6582,6890,9391,34851,23627,21.0,36.3,5560,535,59.2,5.7
Arkansas,Independence County,37097,18054,19043,27667,39945,23056,18.5,27.8,15305,1660,55.3,6.0
Arkansas,Izard County,13521,6971,6550,10934,39135,19737,17.7,29.8,4615,1050,42.2,9.6
Arkansas,Jackson County,17429,8575,8854,13868,32783,19458,25.1,42.4,5700,971,41.1,7.0
Arkansas,Jefferson County,71373,35154,36219,54374,37630,20371,24.7,39.2,26874,5437,49.4,10.0
Arkansas,Johnson County,26155,12977,13178,18153,35758,18757,22.5,31.0,10427,853,57.4,4.7
Arkansas,Lafayette County,7051,3460,3591,5614,32500,25140,23.8,32.3,2580,466,46.0,8.3
Arkansas,Lawrence County,16777,8285,8492,12943,37603,19422,18.4,21.0,6448,1061,49.8,8.2
Arkansas,Lee County,9614,5455,4159,7745,27901,15610,27.3,35.3,2842,1185,36.7,15.3
Arkansas,Lincoln County,13885,8643,5242,11170,38873,13142,17.9,22.2,3359,905,30.1,8.1
Arkansas,Little River County,12494,6157,6337,9688,36963,23412,18.8,25.4,4623,998,47.7,10.3
Arkansas,Logan County,21802,10764,11038,16641,37982,19708,20.2,29.7,8339,1348,50.1,8.1
Arkansas,Lonoke County,71568,35222,36346,52084,57290,25184,12.3,17.3,32577,2500,62.5,4.8
Arkansas,Madison County,15907,8005,7902,11851,42894,23203,17.8,22.6,6557,533,55.3,4.5
Arkansas,Marion County,16374,8050,8324,13400,36113,19200,19.5,30.9,5353,1032,39.9,7.7
Arkansas,Miller County,43760,21581,22179,32903,41862,22227,21.0,31.7,18399,2632,55.9,8.0
Arkansas,Mississippi County,43534,21030,22504,31420,36417,20378,25.6,37.9,17270,3645,55.0,11.6
Arkansas,Monroe County,7420,3435,3985,5861,31584,20486,28.6,46.6,2954,533,50.4,9.1
Arkansas,Montgomery County,9059,4487,4572,7139,35252,21480,18.1,29.4,3248,314,45.5,4.4
Arkansas,Nevada County,8528,4444,4084,6570,36995,18644,23.0,34.0,3294,315,50.1,4.8
Arkansas,Newton County,7898,3979,3919,6288,38134,18053,17.8,23.1,3114,252,49.5,4.0
Arkansas,Ouachita County,24378,11547,12831,18675,32136,19780,26.0,41.0,9290,1550,49.7,8.3
Arkansas,Perry County,10320,5116,5204,7985,46168,21781,17.8,29.1,3943,519,49.4,6.5
Arkansas,Phillips County,19518,9210,10308,14300,26652,17287,33.0,53.3,6718,2245,47.0,15.7
Arkansas,Pike County,10893,5415,5478,8161,36893,20180,17.3,22.8,4466,416,54.7,5.1
Arkansas,Poinsett County,24098,11808,12290,18241,37487,18361,21.4,35.1,9492,985,52.0,5.4
Arkansas,Polk County,20212,9869,10343,14939,33870,18735,26.6,35.7,7222,1270,48.3,8.5
Arkansas,Pope County,63372,31373,31999,46772,40668,21650,19.8,24.5,27026,3414,57.8,7.3
Arkansas,Prairie County,8309,4132,4177,6602,41244,22653,16.8,23.4,3454,502,52.3,7.6
Arkansas,Pulaski County,392848,188310,204538,287896,48850,29855,17.3,26.0,182512,16986,63.4,5.9
Arkansas,Randolph County,17514,8664,8850,13394,35930,20932,20.9,28.7,6549,469,48.9,3.5
Arkansas,St. Francis County,26688,14664,12024,20467,33102,16518,27.5,43.1,8677,2047,42.4,10.0
Arkansas,Saline County,116252,57280,58972,86881,58985,28410,8.0,10.2,55741,3736,64.2,4.3
Arkansas,Scott County,10584,5290,5294,7841,37396,18077,20.5,31.4,4069,831,51.9,10.6
Arkansas,Searcy County,7925,4030,3895,6297,36716,21475,17.4,17.9,3082,227,48.9,3.6
Arkansas,Sebastian County,127362,62180,65182,89587,40932,23916,22.5,33.7,55376,5017,61.8,5.6
Arkansas,Sevier County,17206,8612,8594,10198,43675,18388,21.2,31.5,7225,673,70.8,6.6
Arkansas,Sharp County,17041,8336,8705,13330,31792,20078,23.3,34.6,5867,893,44.0,6.7
Arkansas,Stone County,12443,6242,6201,9936,33091,19881,24.2,37.1,4345,825,43.7,8.3
Arkansas,Union County,40022,19451,20571,29830,41106,23463,20.1,30.1,15544,2476,52.1,8.3
Arkansas,Van Buren County,16751,8356,8395,13264,34428,20568,19.6,29.5,5646,1101,42.6,8.3
Arkansas,Washington County,223683,111839,111844,150386,47452,26371,18.0,21.2,106905,7369,71.1,4.9
Arkansas,White County,78706,38653,40053,58682,44074,23120,16.6,19.8,32331,3638,55.1,6.2
Arkansas,Woodruff County,6763,3193,3570,5272,30097,19987,26.0,34.0,2603,532,49.4,10.1
Arkansas,Yell County,21601,10722,10879,14691,39696,20209,17.8,27.3,8852,926,60.3,6.3
California,Alameda County,1629615,799649,829966,1056116,85743,41363,11.3,13.0,826310,63367,78.2,6.0
California,Alpine County,1203,664,539,936,63438,27448,19.8,17.3,374,137,40.0,14.6
California,Amador County,37306,20005,17301,30677,60636,29628,10.6,20.3,13444,2853,43.8,9.3
California,Butte County,225207,111587,113620,172105,46516,26304,20.5,21.5,93439,15662,54.3,9.1
California,Calaveras County,45057,22292,22765,35783,54800,31652,12.8,18.9,16721,2541,46.7,7.1
California,Colusa County,21479,11157,10322,12364,56481,25676,14.0,20.7,9470,729,76.6,5.9
California,Contra Costa County,1123678,548675,575003,743847,88456,42898,9.8,12.4,535401,51325,72.0,6.9
California,Del Norte County,27442,15008,12434,20803,41287,20809,23.2,31.2,8742,1976,42.0,9.5
California,El Dorado County,185015,92304,92711,139367,74885,38156,9.8,11.6,80373,11289,57.7,8.1
California,Fresno County,971616,484667,486949,575985,48730,22234,25.4,36.5,392003,59902,68.1,10.4
California,Glenn County,27935,14213,13722,16753,46260,21029,19.6,25.5,10775,1541,64.3,9.2
California,Humboldt County,135490,67508,67982,105236,43718,25208,20.8,22.5,59592,9366,56.6,8.9
California,Imperial County,179957,91963,87994,100556,44779,17303,23.8,31.0,59757,16089,59.4,16.0
California,Inyo County,18195,9172,9023,13620,51500,30323,10.2,13.3,8275,708,60.8,5.2
California,Kern County,878744,450393,428351,512066,50826,21716,22.6,31.3,335688,55815,65.6,10.9
California,Kings County,150183,82982,67201,92011,49742,19835,20.9,28.7,53158,8925,57.8,9.7
California,Lake County,64095,31788,32307,48145,40446,23345,22.8,31.6,22691,5392,47.1,11.2
California,Lassen County,31470,20786,10684,25121,54083,20974,14.6,20.7,9052,1884,36.0,7.5
California,Los Angeles County,10105722,4979641,5126081,6218279,61015,30798,17.0,24.0,4805817,485026,77.3,7.8
California,Madera County,154440,74583,79857,90030,48210,19975,22.1,31.5,56076,7472,62.3,8.3
California,Marin County,260814,127423,133391,184739,104703,66748,8.1,9.7,130570,8313,70.7,4.5
California,Mariposa County,17658,8863,8795,14129,51385,28241,15.1,17.5,7009,1413,49.6,10.0
California,Mendocino County,87497,43668,43829,61818,46528,27093,19.1,24.4,37084,6429,60.0,10.4
California,Merced County,267390,135045,132345,148454,46338,20120,23.3,33.4,99026,21674,66.7,14.6
California,Modoc County,9017,4659,4358,6783,39296,22052,18.1,20.4,3231,509,47.6,7.5
California,Mono County,14058,7433,6625,9286,60595,30888,9.9,12.0,7864,334,84.7,3.6
California,Monterey County,433168,221016,212152,231733,63249,27168,14.7,21.6,182439,13904,78.7,6.0
California,Napa County,141005,70311,70694,95211,79637,40632,8.2,9.0,71110,5141,74.7,5.4
California,Nevada County,98838,48732,50106,78584,60610,35581,12.1,15.1,42302,5737,53.8,7.3
California,Orange County,3155816,1558245,1597571,2021028,81851,37603,12.1,16.4,1560997,117220,77.2,5.8
California,Placer County,374985,183021,191964,275790,80488,39734,8.2,8.3,170791,15444,61.9,5.6
California,Plumas County,18724,9432,9292,15324,50266,32056,13.3,12.8,7260,1440,47.4,9.4
California,Riverside County,2355002,1171711,1183291,1487322,60807,25700,15.6,21.3,978726,147245,65.8,9.9
California,Sacramento County,1495400,730680,764720,1013094,60239,29693,16.7,22.6,666790,89152,65.8,8.8
California,San Benito County,58671,29208,29463,36368,80760,30012,9.7,14.4,27688,3200,76.1,8.8
California,San Bernardino County,2121220,1055170,1066050,1332784,57156,22867,18.2,25.8,869658,131946,65.3,9.9
California,San Diego County,3283665,1651147,1632518,2207599,70588,34350,13.3,17.1,1536073,156740,69.6,7.1
California,San Francisco County,864263,440633,423630,641255,96265,59508,11.7,11.4,504914,34628,78.7,5.4
California,San Joaquin County,724153,360247,363906,442154,57813,24694,17.1,23.1,296264,44658,67.0,10.1
California,San Luis Obispo County,280119,142182,137937,214960,67175,33972,13.8,12.9,129277,10318,60.1,4.8
California,San Mateo County,763450,376145,387305,494912,105667,53516,7.3,8.7,404882,23261,81.8,4.7
California,Santa Barbara County,442996,221955,221041,281009,68023,32872,15.4,19.4,211793,18547,75.4,6.6
California,Santa Clara County,1911226,963317,947909,1162019,106761,48689,8.6,9.7,967294,66235,83.2,5.7
California,Santa Cruz County,273263,135654,137609,189870,73663,36388,14.7,17.0,133847,12721,70.5,6.7
California,Shasta County,178919,87753,91166,135637,47258,26455,18.1,25.4,72195,9223,53.2,6.8
California,Sierra County,2885,1488,1397,2419,44190,31750,12.3,10.6,1149,128,47.5,5.3
California,Siskiyou County,43530,21706,21824,33669,40884,24605,20.7,26.6,16544,3064,49.1,9.1
California,Solano County,434981,216074,218907,302379,72950,31934,11.5,16.6,196309,25702,64.9,8.5
California,Sonoma County,500943,245381,255562,354994,71769,37767,10.7,13.1,249134,20945,70.2,5.9
California,Stanislaus County,535684,264824,270860,331295,54260,24007,17.2,23.2,219505,39093,66.3,11.8
California,Sutter County,95583,47613,47970,60187,54347,24849,16.7,23.3,38207,6320,63.5,10.5
California,Tehama County,63247,31452,31795,45458,42512,22631,20.9,30.9,23849,4591,52.5,10.1
California,Trinity County,13037,6603,6434,10463,36563,23575,19.9,24.5,4800,1004,45.9,9.6
California,Tulare County,458809,229488,229321,249667,44871,18962,27.1,36.2,173820,24967,69.6,10.0
California,Tuolumne County,53899,28029,25870,43977,54325,31570,13.6,13.8,20401,3474,46.4,7.9
California,Ventura County,847834,419536,428298,551510,81972,35771,10.3,14.4,410179,36400,74.4,6.6
California,Yolo County,212605,103617,108988,142947,61621,30615,19.4,16.3,95944,10292,67.1,7.2
California,Yuba County,74644,38081,36563,49482,51776,22814,18.5,25.0,27832,4899,56.2,9.9
Colorado,Adams County,487850,245840,242010,306416,64087,27487,12.2,16.4,246450,15627,80.4,5.1
Colorado,Alamosa County,16345,8085,8260,11257,36315,19217,27.8,33.8,6593,1114,58.6,9.9
Colorado,Arapahoe County,626612,309190,317422,426765,69553,36951,9.9,13.2,330548,22192,77.5,5.2
Colorado,Archuleta County,12592,6400,6192,9992,48016,29344,11.6,21.3,5696,540,57.0,5.4
Colorado,Baca County,3581,1732,1849,2727,35898,22853,19.5,28.7,1655,123,60.7,4.5
Colorado,Bent County,5806,3767,2039,4660,32500,14028,24.5,32.4,1370,433,29.4,9.3
Colorado,Boulder County,316782,159112,157670,235892,75669,42119,13.1,11.6,170940,12266,72.5,5.2
Colorado,Broomfield County,64283,31920,32363,46152,85639,43736,5.2,4.7,34972,1846,75.8,4.0
Colorado,Chaffee County,18818,10056,8762,15687,53762,28907,9.6,8.2,8379,392,53.4,2.5
Colorado,Cheyenne County,2127,1086,1041,1362,54907,23698,11.8,10.2,931,110,68.4,8.1
Colorado,Clear Creek County,9257,4752,4505,7523,68534,41257,6.8,7.7,5248,241,69.8,3.2
Colorado,Conejos County,8147,4084,4063,5755,35657,19047,21.1,27.0,2899,541,50.4,9.4
Colorado,Costilla County,3628,1958,1670,2812,29000,20737,29.6,49.9,1242,256,44.2,9.1
Colorado,Crowley County,5514,3752,1762,4506,35292,14393,24.6,31.3,1747,964,38.8,21.4
Colorado,Custer County,4505,2200,2305,3781,41330,26032,15.7,25.9,1389,329,36.7,8.7
Colorado,Delta County,30217,15221,14996,23372,42487,25546,16.5,22.6,11209,1987,48.0,8.5
Colorado,Denver County,678467,339400,339067,475990,60098,38991,15.1,22.8,374043,21420,78.6,4.5
Colorado,Dolores County,1736,946,790,1362,40352,23190,14.1,19.7,797,5,58.5,0.4
Colorado,Douglas County,320940,159804,161136,222455,111154,48725,3.6,3.8,169625,7341,76.3,3.3
Colorado,Eagle County,53726,28560,25166,34723,83803,40450,7.7,10.0,33466,938,96.4,2.7
Colorado,Elbert County,24553,12442,12111,18801,92849,42522,4.8,5.0,13086,677,69.6,3.6
Colorado,El Paso County,674826,340118,334708,486507,62535,31217,11.1,14.2,304289,33082,62.5,6.8
Colorado,Fremont County,46601,27073,19528,38393,44712,20919,15.8,24.7,14406,2380,37.5,6.2
Colorado,Garfield County,57945,29334,28611,36803,66503,31483,9.6,11.7,30411,1987,82.6,5.4
Colorado,Gilpin County,5793,3108,2685,4673,72544,45110,5.6,5.5,3399,154,72.7,3.3
Colorado,Grand County,14793,7997,6796,11576,66489,32919,13.1,21.1,8829,532,76.3,4.6
